date,open,high,low,close,volume
2015-09-04,39.0414,39.2511,38.4805,38.8590,37138775
2015-09-08,39.4882,40.1266,39.3970,40.0263,32469766
2015-09-09,40.3181,40.4914,39.1326,39.2785,33469485
2015-09-10,39.3241,39.9351,38.9821,39.4791,31366630
2015-09-11,39.3423,39.7527,39.1598,39.6524,27132527
2015-09-14,39.6068,39.6159,39.0870,39.2511,23656048
2015-09-15,39.3879,40.3911,39.2876,40.1084,28882206
2015-09-16,40.0992,40.4731,39.9807,40.4002,23372162
2015-09-17,40.3911,41.0386,40.1996,40.3546,32768161
2015-09-18,39.6706,40.1175,39.5156,39.6524,63143684
2015-09-21,39.7801,40.5552,39.7618,40.2269,26177224
2015-09-22,39.5612,40.1722,39.4973,40.0354,28085903
2015-09-23,40.0628,40.2816,39.6797,40.0080,17145238
2015-09-24,39.6250,40.2452,39.4609,40.0445,27905607
2015-09-25,40.5643,40.7923,39.9077,40.0719,29384601
2015-09-28,39.9716,40.2041,39.4016,39.4791,27099680
2015-09-29,39.5521,39.7345,39.2602,39.6159,32763557
2015-09-30,40.0172,40.4002,39.8165,40.3090,33172693
2015-10-01,40.8106,40.8106,39.8986,40.6829,28657859
2015-10-02,40.3728,41.5584,40.0536,41.5584,41839035
2015-10-05,41.7180,42.7622,41.6769,42.5251,34369286
2015-10-06,42.2515,43.0221,42.1512,42.6345,27510808
2015-10-07,42.9537,43.1817,41.9049,42.6801,27711492
2015-10-08,42.4612,43.3322,42.4065,43.2729,33772709
2015-10-09,43.2729,43.3550,42.7895,42.9628,28600632
2015-10-12,42.8443,42.9263,42.4065,42.8625,19769066
2015-10-13,42.4612,42.9810,42.4612,42.7622,19987816
2015-10-14,42.5433,42.9537,42.4339,42.5707,24697766
2015-10-15,42.8716,42.8899,42.4339,42.8716,27189370
2015-10-16,42.8807,43.3550,42.7686,43.3276,26450334
2015-10-19,43.2455,43.6650,42.8807,43.4279,29387581
2015-10-20,43.2638,43.6012,42.8807,43.5647,30802235
2015-10-21,43.7015,43.7654,42.9628,43.0449,25264710
2015-10-22,43.3458,44.6408,42.9446,43.8018,56637074
2015-10-23,47.6959,49.3101,47.6503,48.2158,135227059
2015-10-26,47.9057,49.5381,47.8783,49.4743,64633324
2015-10-27,49.2372,49.5837,48.8633,48.9636,50999907
2015-10-28,48.8268,49.2280,48.2066,49.2280,47000753
2015-10-29,48.8268,49.0912,48.5349,48.6626,30202078
2015-10-30,48.6261,49.2372,47.9878,48.0060,46619761
2015-11-02,48.1975,48.6626,47.9878,48.5532,30284982
2015-11-03,48.2705,49.6020,48.2431,49.3831,36596931
2015-11-04,49.4104,50.0488,49.3010,49.6111,37087849
2015-11-05,49.6931,49.8847,49.2463,49.5928,31468485
2015-11-06,49.3238,50.1400,49.2135,50.0853,32851204
2015-11-09,49.7479,50.0397,48.8450,49.3922,32513067
2015-11-10,49.3101,49.3648,48.5805,48.7994,55283697
2015-11-11,48.9727,49.4287,48.7538,48.9271,36516260
2015-11-12,48.7721,49.2272,48.5076,48.6261,35361095
2015-11-13,48.3982,48.5988,47.9057,48.1884,36848175
2015-11-16,48.4073,49.1460,48.1975,49.0320,32165198
2015-11-17,48.8189,49.1494,48.5251,48.6353,31546754
2015-11-18,48.6628,49.5626,48.6444,49.4433,29710030
2015-11-19,49.5718,50.1870,49.3799,49.5259,28149228
2015-11-20,49.8105,49.8564,48.9061,49.7554,37147608
2015-11-23,49.8105,50.0033,49.3514,49.7554,28235918
2015-11-24,49.5075,49.9850,49.1953,49.8105,24600043
2015-11-25,49.6636,49.7922,49.2963,49.2963,21005147
2015-11-27,49.3973,49.6544,49.3882,49.5167,9009132
2015-11-30,50.0768,50.4624,49.5809,49.9023,56241417
2015-12-01,49.9574,50.7103,49.8564,50.7011,39952779
2015-12-02,50.7930,51.3806,50.5542,50.6920,47274879
2015-12-03,50.9490,51.2061,49.5167,49.7646,38627835
2015-12-04,49.6912,51.6285,49.6728,51.3347,43963662
2015-12-07,51.2245,51.3898,50.7654,51.2429,30709765
2015-12-08,50.9307,51.5091,50.4900,51.2245,32878026
2015-12-09,50.8389,51.2979,50.0492,50.4808,36373209
2015-12-10,50.8572,51.1005,50.5083,50.7470,31775826
2015-12-11,50.2329,50.5910,49.5902,49.6361,39549497
2015-12-14,49.8840,50.6920,49.2872,50.6277,47006491
